tf,cond,seed,metric,delta,n,family
foxa,relaxed,3,ic_weighted_pcc,-0.01649007095329936,130,rigid
foxa,relaxed,3,ic_corr,-0.06935033655143855,130,rigid
foxa,relaxed,3,mae,0.02897493793414189,130,rigid
foxa,relaxed,4,pearsonr,-0.031842796197020316,130,rigid
foxa,relaxed,4,spearmanr,-0.03129715739889718,130,rigid
foxa,relaxed,4,auroc,0.004704149548536509,130,rigid
foxa,relaxed,4,ic_weighted_pcc,-0.027439836890882748,130,rigid
foxa,relaxed,4,ic_corr,-0.05337126371732386,130,rigid
foxa,relaxed,4,mae,0.04255550079620801,130,rigid
foxa,relaxed,5,pearsonr,-0.038889390469679264,130,rigid
foxa,relaxed,5,spearmanr,-0.04051299131267609,130,rigid
foxa,relaxed,5,auroc,-0.02188889743349761,130,rigid
foxa,relaxed,5,ic_weighted_pcc,-0.034017128300800156,130,rigid
foxa,relaxed,5,ic_corr,0.023830793499325237,130,rigid
foxa,relaxed,5,mae,0.042048144455139456,130,rigid
