tf,cond,state,bend_uu,bend_pp,shortening,minor_w,major_w,inclin,tip,xdisp,ydisp,minor_w_cp,major_w_cp
dux4,relaxed,083,144.1279,23.7717,40.1559,6.1655,12.2439,-3.8109,-13.4375,0.5312,-0.524,6.043,12.2985
dux4,relaxed,084,7.8797,3.5782,31.1764,8.6397,12.4594,6.8481,4.1072,-0.2657,-0.1295,7.2821,10.705
dux4,relaxed,085,8.3486,18.1836,27.417,6.5568,13.257,12.3452,-0.2572,-1.2861,0.154,4.7717,12.555
dux4,relaxed,088,18.666,28.0435,9.8983,6.7657,11.5452,9.1285,3.7964,-1.085,-0.5555,6.085,14.126
dux4,relaxed,089,18.6574,24.714,31.568,6.9406,12.4974,4.1028,5.6799,0.1995,-0.5851,6.8121,14.0388
dux4,relaxed,091,126.2622,51.0442,61.6812,6.0731,13.5673,-7.6677,-0.8738,1.3528,-0.9153,2.9344,14.3483
dux4,relaxed,092,49.888,54.5925,39.2214,6.069,12.785,8.5395,2.0136,-0.3291,-0.6591,5.9019,13.4378
dux4,relaxed,093,6.9579,10.7261,7.1996,5.451,12.0958,7.0837,1.1389,-0.9009,-0.9508,5.5,12.3436
dux4,relaxed,094,28.21,26.9673,32.6849,6.9714,12.0414,6.1855,0.8689,0.2125,0.0891,5.455,11.98
egr1,crystal,crystal,3.8727,12.48,1.1434,8.4822,11.3033,8.749,1.5163,-1.2503,0.1333,7.8583,11.874
egr1,frozen,001,7.0108,11.5639,0.9422,7.9316,11.6685,8.2764,2.0822,-1.6854,0.1864,7.7117,12.11
egr1,frozen,002,4.2329,10.4198,1.0153,8.1623,12.2617,8.6338,1.3552,-1.5308,0.1385,7.515,11.74
egr1,frozen,003,15.7386,10.696,3.9648,7.487,12.5959,9.368,3.8642,-1.5415,-0.3576,7.57,12.232
egr1,frozen,004,11.6995,12.136,1.097,7.9748,11.404,9.2463,3.6015,-1.2777,0.195,7.7433,12.0375
egr1,frozen,005,13.6122,12.4921,1.2669,7.585,11.6546,7.2214,0.3775,-1.4943,0.1858,7.3583,11.3725
egr1,frozen,006,12.3056,16.4984,1.256,7.4127,11.6192,5.5409,-1.1179,-1.2994,0.0951,7.4617,11.616
egr1,frozen,007,9.492,14.6751,1.3024,7.9396,11.5858,7.0049,0.9029,-1.5608,0.1509,7.4817,11.836
egr1,frozen,008,3.243,12.4817,0.9792,7.5948,11.5445,9.0773,1.8937,-1.602,0.12,7.6217,12.094
egr1,frozen,009,5.5559,10.701,0.7546,7.7643,11.695,7.7292,0.2833,-1.3685,0.083,7.8033,12.106
egr1,frozen,010,5.2654,13.4945,0.8399,7.7915,11.73,9.6491,1.7733,-1.4534,0.1377,7.8383,11.7
egr1,frozen,011,19.9132,20.698,1.4632,8.2446,11.8546,6.2121,0.5428,-1.3691,0.1945,7.485,11.695
egr1,frozen,012,11.4059,10.3476,0.7496,7.5804,11.7892,8.3842,-0.4235,-1.5739,0.0617,7.1017,10.88
egr1,frozen,013,14.7434,16.6713,1.5406,7.5168,11.7008,5.9708,1.7799,-1.2904,0.1993,6.91,12.2233
egr1,frozen,014,9.929,15.5062,1.1199,7.5639,11.9031,7.6291,0.906,-1.5328,0.1761,7.61,11.854
egr1,frozen,015,9.9927,16.3218,1.136,7.8,11.6945,8.8558,1.0231,-1.3601,0.1317,7.8133,11.7125
egr1,frozen,016,15.3563,14.2414,1.9897,7.6433,12.0538,6.6816,-0.3464,-1.4135,0.2446,7.302,11.74
egr1,frozen,017,11.8901,5.5504,2.1586,7.8913,11.6067,10.2687,-1.5008,-1.2611,0.0771,7.595,11.778
egr1,frozen,018,4.293,13.247,1.1585,8.4626,11.3292,8.7337,1.4344,-1.2777,0.1391,7.8317,11.866
egr1,frozen,019,7.5134,14.1604,1.0995,7.6543,11.1545,9.288,1.9761,-1.6522,0.165,7.6917,11.06
egr1,frozen,020,7.6781,15.9733,1.051,8.6008,11.7192,8.5182,1.6785,-1.3715,0.0803,7.665,12.214
egr1,frozen,021,9.0583,7.4597,1.0663,8.3886,11.69,7.6612,1.2312,-1.4155,0.1778,7.7767,10.5567
egr1,frozen,022,4.3919,10.134,0.8577,8.0904,11.3927,8.9676,-0.403,-1.2917,0.1443,7.59,10.63
egr1,frozen,023,10.499,18.6642,1.4028,7.4027,11.7255,7.9486,2.3856,-1.6095,0.1035,7.45,12.272
egr1,frozen,024,6.0728,15.0218,1.0609,7.5518,11.405,7.63,0.0883,-1.5721,0.1405,7.6233,11.606
egr1,frozen,025,9.6539,17.2037,1.3717,7.7609,12.0283,9.3004,0.613,-1.5695,0.1131,7.8,11.34
egr1,frozen,026,16.9418,23.5288,1.8256,7.4935,11.5417,7.1378,1.0916,-1.4645,0.1891,7.5217,11.876
egr1,frozen,027,20.1725,25.9926,2.2086,6.8646,11.8108,7.6496,2.3258,-1.5592,0.3793,6.985,11.64
egr1,frozen,028,11.1753,14.2278,1.0527,7.8915,11.1767,7.2203,0.6032,-1.501,0.2275,7.542,11.446
egr1,frozen,029,8.0941,13.9051,0.9853,7.7648,11.7869,8.9394,0.6848,-1.5854,0.1397,7.7567,11.57
egr1,frozen,030,31.4622,39.6016,4.5412,7.4271,11.7831,10.2249,0.4532,-1.5989,0.3643,7.4383,11.505
egr1,frozen,031,4.0089,12.6155,1.1487,8.2359,11.3117,8.8875,1.6433,-1.2453,0.1282,7.8633,11.884
egr1,frozen,032,9.3482,14.2971,1.2869,7.705,12.42,8.6501,1.6124,-1.489,0.1828,7.745,11.105
egr1,frozen,033,6.5916,11.7512,0.8817,7.6486,11.8064,9.4656,1.5403,-1.5007,0.0899,7.6717,11.844
