pilot,source,pairwise_ca_rmsd
ets1,bioemu,1.2063
ets1,bioemu,1.2983
ets1,bioemu,1.3869
ets1,bioemu,1.5642
ets1,bioemu,1.4783
ets1,bioemu,1.3009
ets1,bioemu,2.7746
ets1,bioemu,1.1953
ets1,bioemu,1.9244
ets1,bioemu,1.5137
ets1,bioemu,1.2723
ets1,bioemu,1.636
ets1,bioemu,2.1051
ets1,bioemu,1.1356
ets1,bioemu,1.2797
ets1,bioemu,1.3179
ets1,bioemu,1.348
ets1,bioemu,3.381
ets1,bioemu,1.0756
ets1,bioemu,2.1199
ets1,bioemu,1.2885
ets1,bioemu,1.5022
ets1,bioemu,2.4419
ets1,bioemu,1.5123
ets1,bioemu,1.3679
ets1,bioemu,1.3433
ets1,bioemu,1.8712
ets1,bioemu,1.3419
ets1,bioemu,1.1903
ets1,bioemu,1.6304
ets1,bioemu,1.4733
ets1,bioemu,0.858
ets1,bioemu,1.1708
ets1,bioemu,1.3169
ets1,bioemu,1.3874
ets1,bioemu,1.4055
ets1,bioemu,1.4432
ets1,bioemu,1.2552
ets1,bioemu,1.8539
ets1,bioemu,1.6513
ets1,bioemu,1.2823
ets1,bioemu,1.3191
ets1,bioemu,1.1466
ets1,bioemu,1.2386
ets1,bioemu,1.4968
ets1,bioemu,1.2579
ets1,bioemu,1.3912
